class,POAG,POAG,POAG,Ctrl,Ctrl,POAG,POAG,Ctrl,POAG,POAG,POAG,POAG,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,POAG
L-Arginine,16468.022371241,17713.5932761936,20594.1503326191,12432.1393191083,20223.5880198924,15984.6743802133,14660.2603387879,19080.9200981159,18962.1552170742,16900.8005155525,17453.4738861189,22110.4401656461,18521.7134527851,23385.7805187857,16660.131815055,22000.9994635292,22434.9408013735,25270.1948654601,22323.5445804401,22945.6268010096,25877.5555559635,25648.1058102712,16364.7816519886,21207.7430554073,18015.7912849723
L-Cystine,1591.99490841198,4642.00546879021,8122.25771822355,2983.19808025234,5511.04982911169,5763.10496842479,4142.2827828988,3127.47244375189,3271.82245199834,5917.65102149472,3358.87489454751,5790.7654473774,3892.76846096383,4907.75565417677,3439.29879529222,4153.32590895316,5663.08199450758,4683.79120199543,2949.95478183935,5279.44761408234,4092.33577656143,4036.28464694612,3499.96091460497,3421.74851921829,2613.47897835221
Acetyl-CoA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Succinyl-CoA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beta-Leucine,10648.4699817679,8366.80527277228,12634.0988894359,9336.46594541439,10011.494935097,13658.5751092329,13647.8736056221,14873.2876285392,12173.3032838281,12583.7772667641,13375.7855409725,9918.50345175932,12649.2611319124,15203.7225923784,8699.63570322204,10615.8495380917,10086.0702044142,15731.4956070318,10848.7460451453,12770.8710116439,9167.09922271579,12271.9243410923,6851.27229411441,10596.9232199983,7048.22138543004
Lysine,13672.3848923168,12159.5924118875,14493.2442390773,6467.16574665997,10700.4320835071,12956.2972386003,11478.4996866073,15050.8656413632,15076.7876930498,17346.2458084396,10695.363300082,13292.1250230712,11359.4820253889,21211.0319289222,11896.7389171615,15153.1830536426,12636.396975548,18301.4054287364,14264.2257663426,14755.9533776697,10818.0941200292,14050.4724958851,8917.97426816381,12224.9715285139,11328.8901204146
Ornithine,37083.1253188627,23984.0156837484,18289.4254565735,18023.7912297372,24385.2240378845,21426.8397983397,23400.1964847844,33355.9351552533,17744.48446364,18475.248784723,18882.5110558703,30841.9853878626,23124.2235433196,31697.9300345252,30569.8245534566,24622.607428588,18856.426648623,22207.7659461634,13942.871631501,20986.4837463591,18052.7968305325,28093.7293893998,19951.9511175614,17652.0775282818,30268.7068527624
D-Glutamine,8139.16283037628,9084.64459265052,9969.53017450335,7632.47163427513,10047.561069529,10398.6932052061,9942.55667284626,6691.28119865657,9738.52722379557,9936.37002007194,9256.18608435894,10107.3732559713,9082.53162427677,9334.78109121517,6451.64679665242,8061.6672228759,7882.53949393817,9415.62300496879,8677.24866233512,10370.2819759224,8291.89217315448,8786.96786609639,9337.54985287385,8129.62730420145,8134.03889147023
L-Asparagine,3045.97689295717,4060.35515944931,5907.56659123701,3649.34808382189,4563.00035466861,6052.97186747343,3679.40915831505,4229.44570572099,4148.86666939457,5834.33340866987,3602.32988149006,5040.11698129048,4672.9234095099,5351.15907843242,3696.95043706577,4457.60305822005,4821.86377389106,4613.94032251783,3314.19657460223,7448.21495113622,7607.51262270945,5420.53605621614,4961.34821411871,5101.76677613665,5318.05061194135
Succinic-acid,4967.41376731468,2738.3412428151,3946.00299491703,2736.06461445342,3756.67930141183,2006.058653187,4156.33963173929,2247.48079985464,3692.77494260326,3326.53577508516,3282.0346226226,2444.71252527707,2174.72984007585,3219.15183878351,2256.5009865541,2322.18956801068,2523.78764279027,2917.05629218365,2255.7630828099,4222.5993637964,3435.46344157333,2228.65991758101,4099.82904166224,3955.7863646143,6449.21743706782
L-Serine,8517.79341094793,7157.24345286458,8515.51711835114,5145.42211982548,8208.36081045406,10994.7969472917,7575.16346525641,7629.24439463567,8349.01686398791,9781.78652645923,5753.13770099883,9707.33455973565,8494.00143739957,8937.19008839316,5416.95245376998,6685.32847038286,8425.54085117771,7691.38507852599,7510.58235222479,12133.6115182257,6696.22450154052,9357.37000575106,7681.7525133174,7071.66630406738,11556.3046077655
L-Threonine,8248.05248003328,7551.38983580097,11670.0624170882,7379.26082453245,10822.1870085611,12105.3835081665,8902.39707545614,11456.1587415439,10020.4077943422,15577.2988661263,9405.61937978308,13321.4523560563,8624.91916527685,10307.8977522059,5790.30638012552,9429.62552767674,6938.40822145176,11255.4230774168,11778.0849725503,10906.0104532129,12335.4313536431,9421.55188764064,6513.67528909981,9408.75881582235,8780.00631837054
L-Alanine,21981.4776485332,18294.518167337,26544.7457108162,16503.1882177319,27335.2712011068,21343.2448279364,18715.9868474609,17440.1999522399,16212.4723315827,21364.4716047071,15514.7861077099,24469.66947408,9815.33067722171,19675.6727571575,11925.5950118697,17693.9397830925,18103.589069134,19695.4383598864,16127.5201572269,19367.3352479972,23186.7154684121,16786.8491598551,11549.9181933522,21362.6023620182,16845.6394629831
Adenine,4.77146815332458,3.53779867169356,4.79803213156032,3.36340293828277,4.02383756774716,3.41973255265426,2.13506642081767,5.17080894631754,4.84989735280528,3.1287265983177,3.08437150521247,4.08617147262452,2.41661148456764,4.22013274410852,3.58279576284352,1.96248263500593,2.9272330907943,3.01425392395385,1.85994159345425,2.71118687683523,5.41853736963749,3.52102292801626,2.77030152648766,4.30115605052494,4.09607432573655
Inosine,411.308900512246,3.18890584924418,5.70883890407648,1.91396405720477,2.2884828280208,3.20151753540501,4.08922619141198,4.02446905353257,3.45761937062806,5.61720369869856,4.88460707440549,2.28781842938391,1.90319369880851,0.772798027288814,7.35916198252927,1.80328695466943,1.79455358500282,4.77437781628549,1.61747359707512,1.73555212417824,9.45908245744437,3.46555047153229,4.1630070598763,4.82461350675328,3.83048372299911
Phenyllactate,19.6391057741927,18.07074627771,15.0589722222914,17.4138339205644,22.2316098391778,8.20958011825394,10.2952682250692,7.92942266157875,7.93933373264484,9.44604343202572,21.1208944988912,11.6620991079331,20.1202920683475,12.2169244961289,26.5295233548555,11.9878705148237,19.561903495461,11.8879423170398,12.7498543246096,44.641612424705,28.4577878037632,31.3359427362251,7.20309679472808,18.422990771872,5.03370912157219
Citric-acid,2882.43935934173,2497.21963231578,2897.3954589457,1575.03402476348,1911.1657517398,2101.62711585492,1866.27944090621,2448.39044254138,1645.05461145645,1833.20681156769,1636.92758573316,2384.93032628478,2007.2742532383,1458.33400782999,1647.05258267223,2049.97896210191,2397.46529874303,2386.488409437,1555.03789011651,1895.2472752201,1879.1343554449,1764.76137484293,1811.43519881203,1792.57129956877,1631.65003123673
L-Lactate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADP,1851.48837907957,626.266929964545,1470.14107051654,1620.15968187319,1387.12067186188,2191.8157826224,2810.14495581073,1107.43166828536,2383.36059060707,1925.29894003216,1075.2926327864,1649.77829125386,360.913854974786,848.343918453636,530.921280200195,273.048458021381,908.433221396296,1450.14535478772,191.245218136852,475.425027197447,1469.89782809124,794.186299786295,524.271690639278,963.219408875756,5548.5552661616
Uracil,83.2120998089628,69.8074868851924,100.465472152952,76.3658010253079,107.337272392773,70.1331275503143,105.949193659364,94.9496514730744,94.31915891453,72.6368636794064,99.1993774032838,91.9653371721665,81.5170746189365,137.352678780856,78.5239005297125,63.8633930597935,77.2017263261997,152.178974152679,59.3729160757632,86.4693727837322,67.7689224981104,115.730409829319,83.1647504672295,98.8911646893695,117.108729101637
Guanosine,0.773104795365999,0.0976672832145387,0.345701521212215,0.241197130614271,0.173167885238136,0.27355862638598,0.305493145707381,0.366258475682737,0.526166669183809,0.173328425840034,0.168278136940398,0.0952505901472441,0.0209141872634816,0.190289291175411,0.211470184456996,0.0309453297263807,0.0948394591967745,0.572573534623141,0.03553854395534,0.0392260912921692,0.699992883367443,0.14888882794234,0.0617720756565689,0.584550100062625,0.175183162739674
Oxaloacetate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alpha-Ketoglutaric-acid,3656.59501047915,2715.95661965979,5580.67944724995,2066.97331309519,3196.52546448766,1636.15645074816,4537.54563981125,3424.03844157914,2619.84393412661,2569.34885142938,2398.43679717193,4160.30411968464,2670.74534381797,2567.16964587145,5616.39964280411,3050.78688500492,2182.13947092356,2691.62968810906,2823.48901639511,4789.09378049956,2874.37531364632,2636.97673297485,3961.06705839877,3752.69607868814,1241.69213216216
L-Glutamate,44270.4771219651,20981.0735105322,30907.1389357581,20771.3741883746,23547.8778780043,19912.54249236,25018.416544593,30887.9133301979,26754.8845844533,25047.9827646012,19132.3771768661,20356.5849402508,10310.1150968697,25057.737658471,27044.9576930725,25501.6272931203,16587.7284982781,23658.4598881877,15151.417889998,23654.2482309647,12746.8176669178,26233.2443982644,9730.156816183,30436.2994583812,28898.4591706018
L-Tyrosine,11878.7280334377,17910.2116875992,20856.9825301606,14825.4871047913,21059.6228762524,13578.334168052,21857.3729608444,25654.5590918954,19131.435067802,20853.2375633325,14811.0873367641,18295.5688573576,18964.8633605866,22277.0177474469,13617.8367526547,14886.9218591083,20868.1705559203,28322.6554051228,20179.9894917554,21846.9281613626,14411.4337027334,19254.9689734531,15538.6471315321,13074.1306253251,12911.8860604892
c-di-AMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-Glucose-6-phosphate,53.2661956074031,5.7906392939358,11.6530017907737,13.3921525740748,11.2530048535042,10.2332267192943,20.187950591705,7.77056870703815,15.8729815020192,11.1978435146774,8.41766663125276,14.7970922922281,4.32238868403613,7.61358998200725,3.95424076488418,5.6271003923357,5.75114175067883,10.3014305567669,3.65852914986679,6.42680684364452,9.69932034841065,8.92545322347845,7.96681632820195,8.13196016237539,33.5164950082477
cyclic-AMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Fructose-1,6-bisphosphate",58.2258225701728,N/A,70.0428223204376,42.3482635086218,42.4979341903557,42.1111036531995,57.7533737023036,48.8060810253571,50.3718592371735,N/A,52.2502908790864,39.6514773374998,N/A,41.196665306936,36.0857333175665,N/A,37.2890873593875,45.9900083605847,35.9844125135922,35.9477324317379,44.7784099914615,38.1940454517249,N/A,N/A,48.1037074187993
D-Glucose-1-phosphate,127.685291068264,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.8900598958636
Glycerol-3-phosphate,49.4546506677032,86.7643740004125,72.3968742495116,52.2658542893845,54.8177591766193,59.8438492785579,55.9547826029144,49.9361454314099,58.8434410953641,54.6858830148285,60.2626433005574,57.809178690579,133.571172384937,77.5904464047082,64.799129506609,128.999627589302,67.2182055850679,71.4889127838933,108.234787649519,104.873001134501,62.5779046560591,118.347658307553,87.139215813819,100.719985950545,67.1057356095954
Phosphoenolpyruvic-acid,77.8470264004106,43.7590246162484,54.1804034834489,40.1975056534117,48.4334520525938,41.1114098928752,49.5473319435034,37.9851829193625,45.9422300459637,41.7545604296642,47.3492719949332,26.5672465880118,25.622893454985,35.8102569340291,30.291342467685,29.5676238003729,35.286864097477,55.5964462291648,23.825284403505,29.5372068702468,33.2125229827214,32.8913028268535,30.3803376607127,29.9960421061105,63.7286783670455
6-Phosphogluconate-acid,439.210183580618,133.458752606529,270.477391744567,252.41571299643,216.390035566074,203.403785852556,349.777812624083,168.518391551341,328.48670514821,406.994307778374,242.351810186925,205.132795422484,152.336268079005,181.886437338234,164.84960932028,N/A,239.208134778242,277.256028907929,N/A,160.506976344612,401.702887045717,171.784458555204,182.410715566947,243.992337354245,545.652487097648
Pyruvic-acid,727.797508639304,607.642878913813,958.753802395521,841.427665376744,693.675132687583,549.436464452274,1524.71330499653,1070.9145926946,778.838054180998,633.027843053122,325.952938175,979.13566164102,441.671425882962,653.972541132083,1143.94816811624,618.339388428527,680.58531152522,752.130669438728,704.920720712272,527.341468160222,519.140867402589,801.269671979049,460.011115660371,961.00802758668,559.751985727824
D-Erythrose-4-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sedoheptulose-7-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-Ribulose-5-phosphate,206.546570759319,175.480000703919,182.70700521087,180.677449677938,182.929254519406,183.848592275467,196.850384252826,177.839464070911,186.402928060219,194.654873729423,193.83234240564,173.005499459539,174.187440239868,178.06548545816,174.01420120532,N/A,182.071317050193,187.769930484307,N/A,179.98497515678,189.20163248526,183.851650202787,180.741206207728,187.408240979496,224.3247160071
Dihydroxyacetone-phosphate,644.392500414247,364.082823220009,499.07514180325,392.181587911808,479.500400809504,444.275293197101,742.817495348675,352.134582135874,480.372208428417,265.838499478027,469.527427494855,276.755537226086,227.118467489956,499.037276880593,266.522983693541,249.559436218443,275.084944572464,596.179608898904,163.396170345995,365.803378246826,610.811729608873,389.093273248361,387.223064376573,505.251010894355,719.458867976582
Isocitric-acid,N/A,N/A,463.996536258712,270.780321225394,443.807705701326,638.030459352552,709.912283141115,426.860091623243,363.35451474742,540.806440711516,476.26542096144,488.382359064904,470.877659329846,462.571137619194,166.741207224235,334.45571074085,399.952585250423,597.529946274388,458.294226293821,723.118701200208,510.643396306144,660.173920262693,409.710411222749,624.241402502118,786.572622821293
FMN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMP,1295.00273552378,109.2005856009,201.731636034116,197.849867344457,182.370968424479,273.928723166186,299.186796514125,167.863232722444,302.758643282955,246.6028351066,197.523513943613,170.158747594214,77.0512835490074,151.522494892383,105.107459697381,89.5464562537813,166.841682918569,209.74736783982,52.0798035489808,114.790292605949,263.359751668106,256.311699294882,122.230432667009,214.22428950878,635.912961857381
dCMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IMP,280.440372304735,64.1615751973976,169.912537946811,210.237523907466,205.607466657653,167.090565460304,354.444218091795,126.573266180373,329.338435076886,153.315309006468,199.204821173974,24.7993265540162,47.7932861384706,113.716586197175,42.1303213309993,31.0699457996351,92.0274935359547,128.124423316226,N/A,52.3510930890442,131.024490055129,78.2852390666475,90.6567958359896,76.5198258610236,634.426174066399
UMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dTMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dUMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UDP-GlcNAc,107.694090205789,126.720932564624,149.779298315183,129.74306514364,130.353442151807,198.144117516932,153.28084217575,161.748731879552,162.106952012225,169.265244558795,131.935791814392,122.859960599564,57.5620480618393,85.1730394459605,84.948354514735,64.1656222778609,116.590687515442,147.646066429203,37.1888682421749,52.9265880057161,160.499265357966,87.7770305515377,52.49690055222,103.222939664385,381.328650353049
BPG,125.902805276758,221.754029788225,190.504566020168,111.609873489025,116.930688791532,101.682552253872,113.976641279283,161.096238299919,162.481139839805,140.618548976256,131.011468266363,185.466929198723,293.370863257891,142.239562502863,113.414514940178,423.897726918802,139.982549301834,166.229822113413,476.438796734404,268.467100846521,120.025485451145,547.747329112767,272.068313930817,438.634884591744,140.04384559091
ATP,806.889894454907,791.224027059699,1521.63513717349,1130.99966367518,1405.74934954503,1759.11703178448,2148.78041535682,1081.43027424029,2065.8071649389,1954.61869573497,1235.38444515572,2379.52776210477,639.972845107313,1036.99184677225,720.514671168875,621.828099440494,1069.53797128143,1476.29386923207,527.025719692912,776.819609961022,1736.69151379609,1152.77910543002,776.96443328255,1500.84720316609,3973.21673109058
2-Phospho-D-glycerate,1137.05135231553,387.701747903006,871.007956447865,888.044827076933,N/A,N/A,N/A,N/A,1424.40466115551,1165.11292316512,1160.23775214794,N/A,N/A,N/A,N/A,N/A,754.880053970588,1383.45839789883,1315.06351398427,1397.72636861298,1295.14636669317,1265.26533917844,1274.68065147119,1504.21490482139,2087.04576217331
Trehalose-6-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GDP,511.088145389955,135.966573386947,386.203822397279,289.718704835412,342.085918019487,429.579840258449,764.561741658606,266.533266784916,539.885482187865,515.866305422826,280.983480383315,378.827273476095,97.1802452869108,208.634252622051,125.256443553794,63.6703239328936,229.465535200367,318.984429479967,36.8590523341651,113.035642894635,346.407004792502,230.403670860749,153.842525638504,269.733730182989,1207.0046247301
Argininosuccinic-acid,N/A,257.658443564058,277.03423935541,248.096413471911,267.752101385981,270.478169283262,234.266504457603,259.424061050051,266.130805980022,249.374058213962,250.684213432093,261.881306675655,287.126940188372,268.846323243678,280.143401472286,251.092477818815,257.998826212468,242.697115684923,242.550411313218,289.898733153993,287.002782748094,347.204701608883,255.353528862283,288.726594748197,249.621198916571
Phosphorylethanolamine,1547.98724117144,595.685593973982,1074.43196894528,1200.36949296496,1047.77800908128,947.543331581532,1940.40338927836,1036.14962165487,1760.07526461187,1221.60624751383,1080.6704131139,1142.07335100215,568.189873953813,1054.36859537454,489.043948481062,611.946533311206,853.449426336477,1325.30235368354,439.062937490323,626.013477155707,1077.93610749093,908.887744636433,707.209207624127,847.107509595705,2709.09880775259
L-Citrulline,2423.71697965949,2339.12813598275,2690.53729091133,2331.44343862479,3024.117419894,1788.52079708302,1271.3272638499,2446.99148052375,2059.63022781952,2018.95799562296,2517.62764631408,3736.42834675852,3002.35397186368,3133.78524767679,2729.03566377234,1700.16569880017,3210.7230931643,3140.24184743775,1645.53627596996,2667.84986066722,3584.16183782717,4840.00230495523,2804.41876617893,3171.55811855226,1994.60830373442
Fumaric-acid,654.268990339091,526.390124326782,689.596615752826,542.361218140225,582.404389546545,596.735913345494,604.607904588122,535.083444074931,547.817012247737,558.551194360681,516.664923268809,595.876773244566,531.751190059596,539.229501262844,612.540302366678,521.157439368336,512.181443351015,560.538539987524,518.254413561172,705.485504139145,598.603644954885,511.274169930543,604.582047689676,613.326483076173,571.800625681264
