,CLMP,LRIG1,NPTXR,AHCY,THOP1,CTSO,FCRL1,CD164,DDC,ACP6,TFF2,S100P,ANGPT2,CD2AP,ANGPTL7,CLEC5A,TINAGL1,GLRX,ENO2,NADK,GHRL,SERPINB8,SERPINB6,CDHR5,CCDC80,DIABLO,CA13,SEMA3F,KLK10,PILRB,ANGPTL1,APLP1,ADGRG2,TYMP,GRAP2,LILRA5,ALDH1A1,CD79B,ANXA4,ANXA11,SIGLEC7,ITGB7,QDPR,SNAP23,APEX1,ENTPD5,CLSTN2,COMT,CLUL1,HDGF,CHRDL2,CTSH,NOMO1,NQO2,SOST,FAM3C,TXNDC5,PPP1R2,DPP7,LRP11,ADGRE2,ENPP7,SSC4D,MCFD2,REG4,SUMF2,CANT1,CD1C,GAL,CDH2,TYRO3,CRKL,IGFBPL1,RTN4R,VCAN,FBP1,TSHB,BAG6,NECTIN2,ARG1,USP8,FKBP4,SDC4,PAG1,KYAT1,DAB2,NPDC1,METRNL,MEP1B,ROR1,NT-proBNP,RNASE3
Cat27,-1.62849,3.36112,3.50949,0.92949,0.08915,3.93092,-0.30673,8.37603,-1.44815,0.91123,2.04258,-1.07778,-0.50163,-0.52051,4.38282,4.54892,0.81683,-0.52667,2.31321,-1.01626,-1.44146,0.45931,4.16997,-1.59426,2.30179,-0.94351,-0.22242,1.07093,0.82293,1.39341,1.31757,7.97702,-1.37280,1.23530,-1.78823,-0.97189,1.04071,-1.15700,-1.23911,0.75622,-0.70791,-1.39224,1.11539,-1.48408,0.77515,-1.27065,7.67175,0.53754,6.25396,0.27016,-0.72330,1.45109,0.99112,-0.14621,-0.37241,6.18913,-1.29101,-0.23099,4.03576,1.61482,-1.11824,-0.66873,-0.49126,2.58524,2.74951,5.08875,4.01462,-1.27872,-1.18556,0.94677,-1.30198,1.17674,3.63583,1.16827,2.01340,1.27751,-1.27899,-1.87152,1.49861,-0.93959,-2.49495,0.26688,3.14963,0.66913,5.90899,-0.58094,6.03610,1.25158,-1.61769,2.27726,0.62103,-1.90109
Cat19,0.30952,2.84287,2.64815,1.10158,0.60333,3.11174,-0.11541,8.33602,-0.78647,0.43765,2.38500,-0.48451,-0.58069,-0.16827,4.44020,4.71855,0.85820,0.30365,1.42782,-0.32114,-1.82955,0.29959,3.34693,-1.72747,2.24998,1.31274,-0.35095,1.18858,0.37781,1.44105,0.92353,7.76192,-0.59753,0.37293,-0.83098,-0.41597,0.56480,-0.99443,-0.56415,0.52380,-0.88305,-0.55246,1.05357,-0.07193,-0.03935,0.19834,5.91284,-0.76662,5.55466,0.95983,-0.39241,1.87605,0.40484,-0.37574,-1.30920,6.22232,-0.99624,-0.04680,5.53660,1.57085,-0.74568,-0.90833,-0.79411,2.93465,2.97863,5.10438,3.38429,-0.39093,-1.40960,0.75540,-1.12155,0.32447,3.15685,0.97460,1.35705,-0.43495,1.11371,-0.79268,1.34898,0.66987,-1.74843,0.44742,3.71479,1.27010,5.56947,0.12999,5.36225,0.93403,-0.30250,2.16300,1.27037,-0.95989
Gla14,-0.28650,5.01358,4.44618,3.28614,1.10397,6.34213,0.17199,8.46556,-0.11817,1.95758,3.77718,-0.61078,-0.74554,0.28059,5.37020,5.94867,1.54394,0.42061,4.31949,0.15955,-2.00831,1.63467,4.80967,-1.22283,2.79188,-0.21060,4.33340,2.76672,2.48968,3.09017,3.46094,8.62402,-0.86307,4.31940,-1.85234,-0.06932,6.37482,-0.65439,-0.20819,1.28257,0.44093,-1.12844,2.84430,-1.14338,2.75452,-0.28451,9.79314,3.07891,8.37664,0.79499,-0.03504,3.71811,2.61758,-1.06786,-0.78641,6.52739,-0.45923,1.16726,3.16737,3.35442,-1.02525,-0.41158,0.30835,3.53799,4.74903,5.70841,4.90124,0.07092,-1.08543,1.44498,-0.84936,1.41622,6.18866,0.91227,1.73181,3.31046,-0.59011,-0.66527,2.77916,0.91058,-1.78830,0.36514,4.23228,0.67116,7.42439,-0.48162,6.12137,3.57252,-0.81092,3.91146,0.24077,1.19907
Gla24,0.64706,6.67082,6.13376,2.55641,1.40144,7.80879,0.27959,8.69505,0.28199,3.14461,4.63813,-0.99473,0.34605,-0.08338,6.25470,6.87619,1.83093,0.22873,5.56743,-0.07600,-0.52081,1.93883,5.91591,-0.79602,5.02277,-0.61854,1.13471,5.49742,5.42442,3.85274,4.42192,9.00598,-0.61446,4.79115,-1.95328,0.97281,3.96446,0.12411,-1.31422,0.27026,1.86381,-0.93876,2.70891,-0.93883,2.02929,0.07159,10.21630,0.49907,8.96405,0.40913,0.54927,4.73381,3.66348,-0.33549,0.12306,7.16205,-0.31794,1.11501,4.34032,5.66978,0.21550,-0.12388,1.26936,4.39926,4.97047,6.67885,6.08492,0.31413,-0.24790,2.36857,-0.81948,1.64903,7.42124,2.27445,1.94975,2.36709,0.11633,-0.94469,4.10979,-0.42027,-1.81791,-0.31904,4.84302,1.75512,7.03245,-0.37583,8.67158,5.18058,-0.64003,4.57715,2.57757,3.18222
Gla08,0.43692,4.91650,5.27320,2.88767,1.58573,7.02567,0.07468,8.68763,-0.05003,2.66851,5.61453,-1.05223,1.29206,0.90969,6.07216,5.94226,2.57049,0.59010,4.37111,0.28452,0.48351,1.62886,5.03508,-0.90827,3.67069,-0.44090,3.33484,5.13167,4.10430,2.95118,3.23017,8.80159,-1.24646,5.49585,-1.45728,0.06762,5.23268,0.07780,-0.26198,4.46713,0.82101,-0.63355,2.25567,-0.15091,3.02662,0.15403,9.58385,2.74725,8.56748,1.36008,-0.00469,4.22609,3.19117,0.52515,1.13951,6.96823,-0.58838,2.27403,5.59337,4.81358,-0.14549,-0.03088,0.67292,4.30196,6.95560,6.31384,5.27289,-0.19993,-0.35657,2.18856,-0.50919,2.64554,5.95027,1.77311,1.19211,3.36238,-0.65407,-0.53779,3.63697,0.87683,-1.37760,0.89976,5.06398,1.42403,7.79239,-0.06012,7.99439,3.55030,-0.64212,4.14008,2.12747,-0.42682
Gla17,-0.72567,4.96095,4.58791,2.80930,1.38632,6.36206,0.22821,8.34608,-0.38647,1.91564,3.69835,-1.00415,-0.40502,0.35884,5.48831,5.95616,1.86127,0.21176,4.00827,-0.10145,-1.93523,1.68125,4.76112,-0.59922,2.83882,-1.38443,4.14753,3.22858,2.93658,2.96267,3.30793,8.63881,-1.26048,3.79450,-1.85264,-0.34536,6.01698,-0.83487,-0.90442,1.70687,0.47498,-0.79949,2.38622,-0.65312,2.37220,-0.82792,9.50667,2.51900,8.19067,0.22557,0.14209,3.97349,2.38467,1.03812,-0.66997,6.62556,-0.67961,1.03595,4.05965,3.73844,-0.77388,-0.68854,0.13475,3.85238,4.40848,5.64944,4.73423,-0.17744,-1.24834,1.39105,-0.67579,1.98657,6.22739,0.95985,0.81755,2.73413,-0.87189,-0.95247,2.82206,0.87665,-2.07988,0.47304,3.84589,0.90704,7.30885,-0.57464,6.48297,3.18505,-1.71831,3.87893,1.17637,0.79996
Gla28,0.83325,6.52364,5.88162,2.69636,2.11771,7.59017,0.29091,8.64312,0.13974,2.92921,4.53676,3.01750,0.45681,0.66805,6.08743,6.70967,1.50422,0.69004,5.37818,0.26474,-0.20483,2.03642,5.74366,-0.54241,4.81373,0.12102,1.04966,5.57198,4.77445,3.56669,4.35913,9.00420,0.00235,4.51177,-1.10102,1.23617,4.13964,0.02266,-0.69581,1.00646,1.78079,-0.43350,2.62881,-0.23882,1.84853,-0.22498,10.11903,1.08516,8.98682,0.93100,0.63832,5.00236,3.64541,0.06469,-0.09338,7.05866,0.04293,1.25646,4.35468,5.78539,-0.01734,0.00708,0.95507,4.42666,4.64171,6.53271,5.88530,0.29277,-1.03562,2.14539,-0.36958,1.68282,7.13263,1.84104,1.95063,2.74793,0.20721,-0.94122,4.26254,0.54828,-2.05830,0.89524,4.50758,1.59602,6.83186,-0.55985,8.35062,4.77804,-0.54285,4.42963,2.30191,2.30994
Gla30,0.73970,6.83333,6.15306,2.89920,1.35047,7.91646,0.31216,8.84966,0.51622,3.18507,4.64422,-1.05488,0.18196,0.09316,6.48520,6.90229,2.14307,1.13689,5.58356,0.31535,-0.91053,2.51283,5.93538,-0.36521,4.99865,0.24770,0.52652,5.72376,5.73944,3.65168,4.35915,9.05874,-0.45336,5.50360,-1.47430,1.37140,4.00438,-0.05941,-1.32559,0.42469,1.93676,-0.94178,2.61654,-0.98537,2.24741,0.35350,10.14225,0.58440,9.01515,0.37028,0.81854,5.33823,3.49752,0.77300,0.49808,7.17857,-0.03057,1.24191,5.41142,5.80150,0.24875,0.10117,0.97408,4.47021,4.73515,6.62555,6.06558,-0.11198,-0.59117,2.53931,-0.09997,1.69744,7.29655,2.13506,1.94645,2.29087,0.50351,-0.86976,4.46081,1.08138,-1.92341,0.28716,4.72963,1.50780,6.97380,0.50475,8.91310,5.33350,0.14261,4.67900,2.02647,2.38475
Gla26,0.84642,6.50103,5.88756,2.53479,1.06353,7.52231,0.21927,8.45466,0.14343,2.99484,4.52315,-0.95663,0.20877,0.74580,6.16600,6.83527,1.67301,0.25131,5.38623,0.02749,-1.22286,1.80715,5.64561,-0.40901,4.85972,0.35689,1.07360,5.75545,5.17138,3.73592,4.34372,8.81123,-0.81341,4.88111,-1.10930,1.10360,4.17963,-0.06880,-0.97828,-0.00344,1.84760,-0.94542,2.82205,-0.19884,2.12818,0.17276,10.12081,0.24420,8.80430,0.80775,0.69812,4.50655,3.66865,-1.41197,0.41202,6.96715,0.10131,0.63622,4.08890,5.88542,0.00314,0.12088,1.18554,4.24278,4.71742,6.51907,5.85395,0.29135,-0.91218,2.10812,-0.29776,1.90793,7.40015,1.75024,1.84224,2.79279,0.10999,-0.97918,4.18090,0.62749,-2.22792,0.50960,4.49942,1.57832,6.97041,-0.24574,8.44308,5.03355,-0.49285,4.51592,2.45809,3.00835
Gla29,1.16829,6.77918,6.41946,3.11246,1.36178,7.99792,0.74711,8.72249,0.55293,3.55516,4.78173,-0.75006,1.18417,0.98080,6.54087,6.94870,2.19443,0.50143,5.62479,0.53084,-0.06905,2.14324,5.96163,-0.08223,5.27708,1.02414,1.40025,6.28129,5.44045,3.80534,4.76235,9.15171,0.03411,5.25863,-0.31564,1.31823,4.71384,0.28968,-0.48029,0.50540,1.99253,-0.25466,3.34808,-0.29906,2.20477,0.13207,10.44938,2.16333,9.17407,1.34272,1.00933,5.55762,3.71112,0.87391,0.54950,7.28614,0.53718,1.82895,4.45635,6.47828,0.65147,0.49259,2.76322,4.65008,5.04230,6.84265,6.16465,0.69028,-0.17216,2.59417,0.22928,2.11955,7.69684,2.22148,2.18942,3.51161,0.29297,-0.30995,4.71863,-0.15800,-1.18832,1.01808,4.84267,1.72412,7.11687,0.03348,9.19708,5.44541,0.07018,4.78081,2.86187,2.52729
Gla10,0.23913,5.05939,5.53524,3.45752,1.45321,6.98387,0.07966,8.67550,0.17640,2.66592,5.51387,0.59863,1.72059,1.67415,6.05296,5.73292,3.06916,0.74118,4.59307,0.57788,0.10394,1.82091,5.02288,-0.46487,3.80212,1.08702,3.09974,5.20510,4.47023,2.93191,3.36555,9.03636,0.09635,5.77229,-0.54065,0.21835,5.37951,0.04026,-0.15246,4.27746,0.74853,0.00092,2.28555,-0.12171,2.86334,0.32864,9.71267,3.15522,8.71864,1.36524,0.16178,5.00221,3.04169,0.92178,1.09726,6.98581,-0.38397,2.24935,6.00775,5.11482,-0.31918,-0.14682,1.00601,4.26522,6.87957,6.43083,5.17998,0.14581,-0.35976,1.79696,-0.49997,2.66343,6.06091,1.89609,1.51313,3.23256,-0.18929,-0.49239,3.61556,1.07989,-1.45457,0.54305,4.95503,1.50937,7.79538,-0.37698,8.24379,3.54362,-0.60404,4.08642,2.36007,0.35196
Gla21,-0.26236,4.68034,4.40086,3.29633,1.35647,6.19520,0.13087,8.31745,-0.21814,1.86187,3.74660,-0.54438,-0.51487,0.89721,5.47867,5.85548,1.68504,1.49494,3.85183,0.40096,-1.45054,1.52065,4.55663,-1.38680,2.81069,-0.19232,4.00411,3.28356,2.72692,2.89287,3.33872,8.51883,-0.50522,4.17114,-1.61389,0.03130,6.33228,-0.71307,-0.28493,3.27046,0.52901,-1.05842,2.17405,-0.62060,2.54672,-0.33563,9.36279,2.91206,8.34185,0.41795,-0.27013,3.94006,2.58165,-0.03022,-0.75401,6.49562,-0.73945,1.17492,3.84750,3.60806,-0.77114,-0.52878,1.17930,3.53923,4.53852,5.57879,4.72597,-0.19935,-0.86330,1.45138,-0.88453,1.79810,6.16671,0.78114,1.19791,3.12417,-0.81884,-1.10236,2.89011,2.07131,-2.01043,0.51858,4.15035,0.99593,7.11200,-0.56543,6.22288,3.00285,-0.95363,3.90366,1.17425,0.93243
Gla06,0.79691,4.96519,5.45755,3.46928,1.74307,6.88109,0.20010,8.75455,0.16616,2.69777,5.58253,-0.50146,1.74297,1.30501,6.04339,5.84797,2.89435,0.56330,4.50969,0.52264,0.39547,1.37901,5.01396,-1.16781,3.74745,0.86661,3.58065,5.18261,4.27749,2.76710,3.51274,9.07054,-0.33782,6.07276,-0.96808,0.09093,5.42173,0.05741,-0.05014,3.19854,0.67391,-0.68019,2.46973,-0.60861,2.76225,0.48013,9.62559,3.67818,8.81445,0.98738,0.36022,4.74527,3.09992,1.17843,0.98463,7.02545,-0.16709,2.06479,6.17829,5.04377,-0.27256,-0.10009,1.40546,4.28842,6.84287,6.36070,5.21202,0.11692,-0.63829,1.98424,-0.62503,2.57024,5.94518,1.92887,1.54079,3.39077,-0.26115,-0.63497,3.31602,0.29899,-1.15108,0.56008,4.98820,1.16166,7.89114,0.21911,8.05450,3.71481,-0.42467,4.19460,2.00226,0.39545
Gla25,1.30809,7.07292,6.26056,2.92448,1.35022,8.10137,0.72682,8.78539,0.58459,3.31385,4.71421,-0.74292,0.72306,1.02166,6.41430,6.96183,2.11589,0.38297,5.54498,0.39193,-0.14108,2.31307,6.00353,-0.61819,5.28899,0.98602,0.50367,5.89849,5.14860,3.77651,4.63613,9.20913,0.22039,5.11944,-0.64550,1.36727,4.27368,0.11390,-0.46701,0.67696,2.03820,-0.22547,3.29047,-0.23336,2.28527,0.60905,10.45392,1.20944,9.01896,0.98799,1.34790,5.10834,3.81681,-0.08195,0.38858,7.35594,0.65606,2.15081,4.48429,6.16234,0.44596,0.40370,1.70129,4.60341,4.90971,6.74606,6.13314,0.50373,-0.07111,2.38815,-0.10608,2.25242,7.44894,2.38291,2.26688,3.27118,0.61303,-0.79340,4.45307,0.51475,-1.48358,1.61762,4.75641,1.74132,7.10353,0.01566,8.89862,5.11836,0.09139,4.83403,2.91007,2.51317
Gla15,0.86800,5.25991,5.57345,3.98785,1.53410,7.09227,-0.21550,8.76420,0.26112,2.68422,5.15263,-0.90020,1.72628,2.55329,6.15556,6.12034,2.85743,0.81443,4.73705,0.98134,-0.05755,1.71326,5.14704,-0.97497,3.93668,1.41899,4.13471,5.19880,4.24362,3.18856,3.96308,9.06003,-0.54328,6.29073,-0.30379,0.55851,6.09532,0.24348,0.27870,4.90788,1.04002,-0.50310,2.51409,0.29229,3.26839,0.32187,10.00377,4.05540,9.07802,2.08395,0.26851,4.98244,3.19940,1.39083,0.66081,7.12389,0.19667,2.99342,5.70690,5.21688,0.47940,0.13172,1.97668,4.38389,6.60172,6.56672,5.39835,0.56021,-0.39528,2.05156,-0.76462,2.71672,6.40689,1.80428,1.50762,3.38491,-0.09462,0.16446,3.74576,0.42580,-1.41739,0.91615,4.61920,1.20942,7.77959,-0.64362,7.99648,3.96988,-0.29817,4.15133,2.03632,0.24977
Gla35,0.84995,4.71769,4.50327,4.75940,2.84452,5.64913,0.37105,8.72716,0.15226,2.78075,3.42036,-0.85009,-0.46722,3.09196,6.91263,6.05030,1.50991,0.87611,3.58112,1.35983,-0.53550,3.09151,5.15991,-0.12296,2.93284,0.75218,6.62432,2.28063,2.23789,2.73301,2.44901,8.57313,0.11512,5.24073,-0.59999,-0.11036,5.74384,-0.42227,1.01927,5.81858,0.48956,-0.18296,3.75769,0.21507,6.80736,0.34373,9.58210,3.74829,7.35638,2.94894,-0.03050,2.98017,3.10719,0.08765,-0.14670,6.94568,1.38736,2.52518,6.16182,2.82337,-0.09752,0.14523,1.66133,3.46499,3.83878,5.94337,4.78091,0.01966,-0.80762,1.59335,-0.71727,3.07905,5.27661,1.30921,2.53239,2.37110,-0.40096,0.02954,2.83708,0.68148,-1.18414,0.93216,4.82121,1.78959,10.19046,0.13261,7.17560,2.16475,0.07813,3.60008,1.83774,0.15715
Gla40,0.42145,4.13594,3.91826,0.55625,0.38001,5.85577,0.44735,8.28718,-0.48924,1.64121,2.83599,-0.81388,-0.14200,0.37081,4.16735,4.97286,0.95551,-0.78593,3.53128,-0.71328,-0.99319,0.60220,3.89644,-1.52311,2.76184,0.13273,0.37487,1.89969,1.65868,0.82431,2.10753,8.62140,-0.49456,1.89212,-0.58925,-0.04147,1.72088,-1.29623,-0.73925,0.41327,-0.10685,-0.88725,1.43071,0.01292,0.66030,0.22149,9.33104,-0.29781,7.83706,0.78157,-0.33454,2.71686,2.24274,-1.12162,-0.15894,6.77753,-0.76444,0.01493,6.07212,2.53614,-1.00197,-0.07015,-0.34733,3.49455,3.45267,5.88575,3.96600,-0.26025,-0.74289,1.11202,-1.12863,0.70279,4.94280,0.84803,2.00135,-0.16680,-0.84505,-1.05599,2.44276,-0.86799,-1.77167,0.45024,4.08548,0.57855,5.44077,-0.10661,6.66960,2.11811,-0.14868,3.29110,1.31590,-0.96718
Gla39,-0.09861,3.94998,3.78960,1.35809,2.41875,4.32094,-0.37213,8.71268,-0.35926,1.38393,3.66238,-0.80089,-1.14677,-0.38118,4.61683,5.57322,0.39301,-0.06609,3.30889,-0.79229,-0.85379,5.16746,5.24702,-1.56457,2.06337,0.04956,4.21273,0.25987,0.52296,2.13053,0.33314,6.36470,-0.69981,2.94607,-1.19809,-0.18313,3.33770,-0.81826,-0.87327,0.34633,-0.14141,0.01407,2.28857,-0.60932,3.10720,-0.73200,7.66451,-1.03047,4.89649,0.64863,-0.23991,2.30743,1.52351,0.92275,-0.86066,6.92021,-0.81569,0.06898,6.06702,0.31240,-1.04351,-1.06939,0.32526,1.99464,3.37454,5.71075,4.15103,-0.71357,-1.45999,1.21945,-1.25432,0.51753,3.00997,0.67139,2.23077,1.01493,-0.59992,-0.81066,1.60066,3.12126,-2.39883,-0.06551,4.19766,0.82664,8.08776,0.24092,3.59636,0.03946,-0.91947,2.57593,1.19025,-1.22300
Gla16,0.72540,5.36552,5.22130,3.93766,2.21468,6.94583,0.53145,8.73108,0.58986,2.24634,4.05958,-0.28383,0.33176,1.58649,6.28896,6.46273,2.36546,0.83139,4.42077,0.92799,-0.50439,2.23310,5.20012,-0.62036,3.59497,1.14140,4.55967,4.10159,3.82788,3.22231,3.96387,8.97676,0.19458,4.77605,-0.46894,0.52652,6.93905,-0.26111,-0.20445,2.90928,1.10143,-0.31824,2.95312,-0.22954,3.40214,0.40304,10.18457,3.69841,8.86115,2.32938,0.04435,4.89181,2.78843,0.78470,0.11424,6.97588,0.06562,1.79834,4.76186,4.30739,-0.06608,0.03898,2.18017,4.16638,5.24332,6.12115,5.30429,0.57675,-0.29549,2.01463,-0.20096,2.55511,6.91783,1.52374,1.74038,3.34560,-0.06761,-0.18426,3.49241,1.37386,-1.16370,1.16000,4.39583,1.58452,7.79838,0.70367,7.39722,3.98482,0.35862,4.41988,1.87168,1.79582
Gla01,0.89371,6.49634,6.79859,4.14913,2.45154,8.13684,0.72219,9.09013,1.02744,3.43695,4.90799,-0.44838,1.90779,1.05978,7.01304,7.04736,3.82855,1.51808,7.39810,2.21716,0.44304,4.18849,5.70900,-0.61990,4.95906,0.91454,4.94263,6.33273,4.74496,3.97522,4.21030,9.26666,-0.53270,6.61295,-0.93742,0.75157,5.06699,0.33242,-0.78019,1.90561,2.53970,-0.38569,2.98493,0.06179,3.77751,0.41097,11.07668,1.93721,9.28960,2.28027,1.26828,5.62607,4.03443,3.92114,1.21847,7.44243,0.50796,5.00293,6.55155,6.45609,0.92325,0.20528,2.45984,4.88486,5.73913,7.02194,6.36479,0.20406,-0.11414,2.90955,-0.00319,4.48892,6.98162,2.54882,3.74925,5.78524,-0.07063,-0.14849,4.92630,0.32373,-1.25353,2.03058,5.41288,2.62000,8.11900,-0.45284,9.36656,4.91662,-0.47494,4.83450,2.68330,3.45519
Gla12,0.25753,4.79370,4.90375,2.37326,1.18491,6.35985,-0.16429,8.35134,-0.41055,2.43644,5.21438,-1.03711,0.73537,0.67422,5.63746,5.53615,2.20432,0.01677,4.14994,-0.34828,0.13577,1.20791,4.67929,-1.07672,3.24042,0.48114,3.00923,4.63333,3.60991,2.61384,2.81869,8.68017,-1.42418,4.80919,-1.36701,-0.46825,4.69656,-0.22201,-1.11970,1.44488,0.47749,-1.14237,2.03878,-0.97207,2.56616,-0.40689,9.05547,2.50714,8.00858,0.71714,-0.10515,3.61018,2.98912,0.43409,0.45801,6.68050,-0.94687,1.27675,5.77798,4.48111,-0.68255,-0.73342,0.36645,3.79133,6.75583,5.91621,4.72703,-0.32003,-1.06528,1.40387,-0.85689,2.14438,5.81873,1.30916,0.71642,2.53059,-1.24923,-1.26922,3.26023,-0.44241,-2.06314,0.45586,4.55473,0.87497,7.46523,-0.23285,7.64452,3.07123,-1.29958,3.53859,1.49756,-0.15409
Gla33,2.01922,6.25592,6.84091,4.16865,3.01919,7.64250,1.14078,8.51375,3.57943,3.50671,8.27262,-1.16544,0.93079,0.82294,7.10142,7.02485,4.10913,0.98329,6.71652,2.46543,0.06600,4.57209,6.03057,0.15551,4.71458,-0.48602,4.43838,5.59122,4.37844,4.67968,4.32556,8.68778,-0.56330,8.14041,-1.66336,1.35089,4.11999,0.60439,-1.09210,0.71441,3.00074,-0.97952,4.26323,-0.46153,3.58415,0.22626,9.75959,0.23659,9.14431,1.93175,2.36331,6.14627,4.36710,4.28608,1.47114,6.75873,0.68137,4.72603,5.21506,5.97897,1.71400,2.87180,2.49816,4.32342,7.89652,6.73733,5.97733,1.88354,-0.09046,3.07587,0.24968,4.85856,7.46213,2.00519,2.62217,6.02830,-0.87777,-0.45085,5.30298,0.11107,-2.08825,2.18449,5.77302,2.90058,9.23020,-0.66442,8.75235,5.21153,1.58988,5.80181,3.58178,2.75489
